tt_num,ccat_before,ccat_after,symp_before,symp_after,cc_before,cc_after,rc_before,rc_after
1-10631448269,null,LocalAccess,Line Disconnect,Line Disconnect,null,Drop Fiber Damage,null,FDP_FASC_Connector_Replaced
1-10631506001,null,TM_CPE,Frequent disconnection,Frequent disconnection,null,TM_CPE_PG Hang,null,Firmware & Software upgrading
1-10631590248,null,TM_CPE,Line Disconnect,Line Disconnect,null,TM_CPE_PG Faulty,null,PG_Config_Changed
1-10631614830,null,Customer,Intermittent,Intermittent,null,Clear While Localising,null,Advise Customer
1-10631720226,null,TM_CPE,VoBB Down,VoBB Down,null,TM_CPE_DectPhone Faulty,null,Dect Phone Replaced
1-10631770020,null,TM_CPE,Line Disconnect,Line Disconnect,null,TM_CPE_PG_Wireless Coverage,null,Change Wireless Channel Mode
1-10631856136,null,Customer,STB Not Responding,STB Not Responding,null,Clear While Localising,null,Advise Customer
1-10631897275,null,LocalAccess,Cannot browse all website,Cannot browse all website,null,FDP_FASC Connector Faulty,null,FDP_FASC_Connector_Cleaned
1-10631918790,null,Access Network,Intermittent,Intermittent,null,*OLT_ForceMajure,null,Port Reset
1-10631919521,null,TM_CPE,Line Disconnect,Line Disconnect,null,TM_CPE_PG_Power adaptor prob,null,Power Adaptor Replaced
1-10631957499,null,BTU,Line Disconnect,Line Disconnect,null,VDSL Modem Faulty,null,VDSL_Replaced
1-10631996448,null,BTU,Line Disconnect,Line Disconnect,null,ONU_Faulty,null,ONU_Replaced
1-10632005867,null,Customer,Line Disconnect,Line Disconnect,null,Other_Fault,null,Advise Customer
1-10632036226,null,Access Network,Line Disconnect,Line Disconnect,null,EQMT_VLAN problem,null,VLAN changed
1-10632107943,null,BTU,Line Disconnect,Line Disconnect,null,VDSL Modem Config Problem,null,VDSL_Config_Changed
1-10632124519,null,Customer,Intermittent,Intermittent,null,Cust_PC Issue/Faulty,null,Advise Customer
1-10632166035,null,LocalAccess,Line Disconnect,Line Disconnect,null,FDP_FASC Connector Faulty,null,FDP_FASC_Connector_Replaced
1-10632180005,null,TM_CPE,Line Disconnect,Line Disconnect,null,TM_CPE_PG Faulty,null,PG_Reset
1-10632192799,null,IPTV Platform,Blank Screen_All Channel,Blank Screen_All Channel,null,Others,null,Others
1-10632225042,null,TM_CPE,Line Disconnect,Line Disconnect,null,TM_CPE_PG Faulty,null,PG_Reset
1-10632228445,null,Customer,Wireless signal low,Wireless signal low,null,No Wireless Coverage,null,Advise Customer
1-10632230365,null,BTU,Line Disconnect,Line Disconnect,null,ONU_Hang,null,ONU_Reset
1-10632237581,null,Customer,Line Disconnect,Line Disconnect,null,Clear While Localising,null,Advise Customer
1-10632328831,null,TM_CPE,FUP Slow Throughput,FUP Slow Throughput,null,TM_CPE_PG Hang,null,PG_Reset
1-10632347223,null,Customer,Blank Screen_All Channel,Blank Screen_All Channel,null,Clear While Localising,null,Normalise_CPE Connection
1-10632356306,null,System,Slow throughput (local),Slow throughput (local),null,UniFi Package Issues,null,Configure Customer Account
1-10632374451,null,Customer,Line Disconnect,Line Disconnect,null,Cust House Electricity Problem,null,Advise Customer
1-10632376141,null,Customer,Slow downloading rate,Slow downloading rate,null,Cust_PhoneWallSocketFaulty,null,Advise Customer
1-10632398165,null,LocalAccess,Line Disconnect,Line Disconnect,null,FOC_D/S Cable Damage,null,FOC_D/S cable replaced
1-10632406407,null,BTU,Line Disconnect,Line Disconnect,null,VDSL Modem Faulty,null,VDSL_Replaced
1-10632407505,null,TM_CPE,Line Disconnect,Line Disconnect,null,TM_IW FWS,null,Connector_Replaced
1-10632517081,null,BTU,Line Disconnect,Line Disconnect,null,VDSL Modem Faulty,null,VDSL_Replaced
1-10632562407,null,Network Trouble Ticket,Line Disconnect,Line Disconnect,null,Caused By NTT,null,Resolved By NTT
1-10632601885,null,LocalAccess,Line Disconnect,Line Disconnect,null,FDP_FASC Connector Faulty,null,FDP_FASC_Connector_Replaced
1-10632625285,null,TM_CPE,Cannot browse all website,Cannot browse all website,null,TM_CPE_PG Hang,null,PG_Reset
1-10632645651,null,Customer,Line Disconnect,Line Disconnect,null,Clear While Localising,null,Advise Customer
1-10632656466,null,BTU,Intermittent,Intermittent,null,ONU_Faulty,null,ONU_Replaced
1-10632697848,null,LocalAccess,Line Disconnect,Line Disconnect,null,FDP_Patching,null,Patching_Fiber Normalised
1-10632705855,null,BTU,Line Disconnect,Line Disconnect,null,VDSL Modem Faulty,null,VDSL_Replaced
1-10632741565,null,Customer,Slow throughput (local),Slow throughput (local),null,Customer_Not Reachable,null,Advise Customer
1-10632756308,null,TM_CPE,Line Disconnect,Line Disconnect,null,TM_CPE_PG Faulty,null,PG_Config_Changed
1-10632830233,null,Customer,Line Disconnect,Line Disconnect,null,Customer_IW Copper,null,Advise Customer
1-10632835061,null,Customer,ME_Customer CPE prob,ME_Customer CPE prob,null,Dect_Phone_Faulty,null,Dect Phone_Replaced
1-10632835603,null,Customer,Line Disconnect,Line Disconnect,null,Other_Fault,null,Advise Customer
1-10632840685,null,BTU,Line Disconnect,Line Disconnect,null,ONU_Faulty,null,ONU_Reset
1-10632882785,null,TM_CPE,Router down,Router down,null,TM_CPE_PG Hang,null,PG_Reset
1-10632945695,null,Customer,Line Disconnect,Line Disconnect,null,Customer_IW Internal Fiber,null,Advise Customer
1-10633055061,null,Customer,Line Disconnect,Line Disconnect,null,Customer_Behaviour,null,Customer_Reconnect CPE
1-10633134573,null,BTU,Intermittent,Intermittent,null,VDSL Modem Faulty,null,VDSL_Reset
1-10633194035,null,Customer,Cannot browse all website,Cannot browse all website,null,Cust_PC Issue/Faulty,null,Advise Customer
1-10633203387,null,Access Network,Line Disconnect,Line Disconnect,null,EQMT_VLAN problem,null,VLAN changed
1-10633242737,null,Customer,Jerks/Pixel_SingleLiveTV,Jerks/Pixel_SingleLiveTV,null,HomePlug_Faulty,null,Advise Customer
1-10633274698,null,Major Outage,Line Disconnect,Line Disconnect,null,Known_NTT Fault,null,NTT_Resolved
1-10633296475,null,BTU,Frequent disconnection,Frequent disconnection,null,VDSL Modem Faulty,null,VDSL_Replaced
1-10633298347,null,Customer,Line Disconnect,Line Disconnect,null,Customer_Cancel TT,null,Advise Customer
1-10633338505,null,CKC 3RD PARTY,Line Disconnect,Line Disconnect,null,3rdparty_CKCDside,null,CKC Restored
1-10633349725,null,Access Network,Line Disconnect,Line Disconnect,null,EQMT_GE port faulty,null,Port Change
1-10633352318,null,BTU,Wireless intermittent,Wireless intermittent,null,VDSL Modem Faulty,null,VDSL_Replaced
1-10633364205,null,Customer,Line Disconnect,Line Disconnect,null,Customer_Not Reachable,null,Advise Customer
1-10633376966,null,TM_CPE,Frequent disconnection,Frequent disconnection,null,TM_CPE_PG Hang,null,Firmware & Software upgrading
1-10633387407,null,BTU,Line Disconnect,Line Disconnect,null,ONU_Power Adaptor,null,Power Adaptor Replaced
1-10633422083,null,BTU,Blank Screen_All Channel,Blank Screen_All Channel,null,ONU_Missing Config,null,ONU_Config_Changed
1-10633459392,null,Customer,Alarm - physical,Alarm - physical,null,Customer_Behaviour,null,Advise Customer
1-10633460951,null,Customer,Intermittent,Intermittent,null,Other_Fault,null,Advise Customer
1-10633494634,null,Customer,Unable to Fax,Unable to Fax,null,Cust_PC Issue/Faulty,null,Advise Customer
1-10633538175,null,RIGHT WHEN TESTED,Line Disconnect,Line Disconnect,null,RWT END-END,null,RWT CUSTOMER SATISFIED
1-10633562152,null,Major Outage,Call Failure – Incoming  & Outgoing Call,Call Failure – Incoming  & Outgoing Call,null,Known_NTT Fault,null,AdviseTMUCtoProvide full info
1-10633591005,null,Customer,Line Disconnect,Line Disconnect,null,Customer_Not Reachable,null,Advise Customer
1-10633624145,null,System,Slow throughput (local),Slow throughput (local),null,User_Account,null,Resolved By Account Service
1-10633625026,null,Customer,Line Disconnect,Line Disconnect,null,Customer_Behaviour,null,Advise TMUC
1-10633651370,null,Customer,Error_102001,Error_102001,null,STB_Faulty,null,Advise Customer
1-10633665186,null,BTU,Frequent disconnection,Frequent disconnection,null,ONU_Power Adaptor,null,ONU_Replaced
1-10633665885,null,Major Outage,Line Disconnect,Line Disconnect,null,Known_NTT Fault,null,NTT_Resolved
1-10633682280,null,TM_CPE,Wireless intermittent,Wireless intermittent,null,TM_CPE_PG Faulty,null,PG_Replaced
1-10633683215,null,BTU,Line Disconnect,Line Disconnect,null,VDSL Modem Faulty,null,VDSL_Replaced
1-10633697500,null,BTU,Wireless intermittent,Wireless intermittent,null,VDSL Modem Faulty,null,VDSL_Reset
1-10633708163,null,Customer,Blank Screen_All Channel,Blank Screen_All Channel,null,Clear While Localising,null,Advise Customer
1-10633729015,null,BTU,Line Disconnect,Line Disconnect,null,ONU_Power Adaptor,null,Power Adaptor Replaced
1-10633730945,null,RIGHT WHEN TESTED,Slow throughput (local),Slow throughput (local),null,RWT END-END,null,RWT CUSTOMER SATISFIED
1-10633773611,null,Customer,Noisy,Noisy,null,Other_Fault,null,Others
1-10633792665,null,Customer,Line Disconnect,Line Disconnect,null,Customer_Not Reachable,null,Advise Customer
1-10633799613,null,BTU,Intermittent,Intermittent,null,ONU_Hang,null,ONU_Replaced
1-10633836818,null,Customer,Line Disconnect,Line Disconnect,null,Customer_Cancel TT,null,Advise Customer
1-10633871251,null,Customer,No Dial Tone,No Dial Tone,null,PG_Faulty,null,Advise Customer
1-10633899214,null,LocalAccess,Line Disconnect,Line Disconnect,null,Drop Fiber Damage,null,D/S Fiber cable restored
1-10633912053,null,TM_CPE,Frequent disconnection,Frequent disconnection,null,TM_CPE_PG Hang,null,PG_Config_Changed
1-10633912749,null,TM_CPE,Slow Browsing,Slow Browsing,null,TM_CPE_PG Hang,null,PG_Config_Changed
1-10633938446,null,BTU,Line Disconnect,Line Disconnect,null,VDSL_Modem_Hang,null,VDSL_Reset
1-10633941645,null,Customer,Line Disconnect,Line Disconnect,null,Customer_IW Internal Fiber,null,Advise Customer
1-10634015243,null,Customer,Line Disconnect,Line Disconnect,null,Customer_Cancel TT,null,Advise Customer
1-10634055201,null,LocalAccess,Line Disconnect,Line Disconnect,null,Cabinet/SDF Jumper Faulty,null,Jumper Changed
1-10634057766,null,TM_CPE,Line Disconnect,Line Disconnect,null,TM_IW Fiber Patch Cord,null,TM_FTB FASC connector replaced
1-10634146474,null,BTU,Line Disconnect,Line Disconnect,null,ONU_Hang,null,ONU_Replaced
1-10634149529,null,BTU,Line Disconnect,Line Disconnect,null,ONU_Power Adaptor,null,Power Adaptor Replaced
1-10634167004,null,Customer,Line Disconnect,Line Disconnect,null,Clear While Localising,null,Advise Customer
1-10634192439,null,BTU,Wireless frequent disconn.,Wireless frequent disconn.,null,ONU_Faulty,null,ONU_Replaced
1-10634195857,null,BTU,Line Disconnect,Line Disconnect,null,ONU_Power Adaptor,null,Power Adaptor Replaced
1-10634200082,null,Customer,Cannot browse all website,Cannot browse all website,null,Other_Fault,null,Advise Customer
1-10634200143,null,Customer,Line Disconnect,Line Disconnect,null,Clear While Localising,null,Advise Customer
1-10634213167,null,BTU,Line Disconnect,Line Disconnect,null,VDSL_Modem Power Adaptor,null,Power Adaptor Replaced
1-10634217541,null,Access Network,Line Disconnect,Line Disconnect,null,EQMT_VLAN problem,null,VLAN changed
1-10634245246,null,Customer,Line Disconnect,Line Disconnect,null,Other_Fault,null,Advise Customer
1-10634261151,null,TM_CPE,Wireless frequent disconn.,Wireless frequent disconn.,null,TM_CPE_RG Wireless Signal Low,null,PG_Reset
1-10634347371,null,BTU,Line Disconnect,Line Disconnect,null,VDSL Modem Faulty,null,VDSL_Replaced
1-10634437941,null,Customer,Can't browse certain local web,Can't browse certain local web,null,Cust_PC Issue/Faulty,null,Customer CPE Own Configuration
1-10634459821,null,BTU,Line Disconnect,Line Disconnect,null,VDSL Modem Faulty,null,Power Adaptor Replaced
1-10634468037,null,BTU,Line Disconnect,Line Disconnect,null,VDSL Modem Faulty,null,VDSL_Replaced
1-10634471967,null,TM_CPE,Line Disconnect,Line Disconnect,null,TM_CPE_PG Hang,null,PG_Config_Changed
1-10634501005,null,Access Network,Line down,Line down,null,Auto-Reset faulty,null,Reset
1-10634532492,null,TM_CPE,Line Disconnect,Line Disconnect,null,TM_FTB FASC Connector Faulty,null,Connector_Replaced
1-10634626666,null,TM_CPE,Wireless not detected,Wireless not detected,null,TM_CPE_PG Hang,null,PG_Config_Changed
1-10634822152,null,Customer,Line Disconnect,Line Disconnect,null,PG_Faulty,null,Customer_Reuse Supplied TM CPE
1-10634860285,null,Customer,Line Disconnect,Line Disconnect,null,Other_Fault,null,Advise Customer
1-10634895652,null,BTU,Line Disconnect,Line Disconnect,null,VDSL Modem Faulty,null,VDSL_Replaced
1-10634906919,null,Customer,No Dial Tone,No Dial Tone,null,Clear While Localising,null,Advise Customer
1-10634925701,null,Customer,Noisy,Noisy,null,Clear While Localising,null,Advise Customer
1-10634931447,null,Customer,Blank Screen_All Channel,Blank Screen_All Channel,null,Clear While Localising,null,Advise Customer
1-10634979800,null,Customer,Line Disconnect,Line Disconnect,null,Cust_PC Issue/Faulty,null,Advise Customer
1-10635010628,null,TM_CPE,Line Disconnect,Line Disconnect,null,TM_IW FWS,null,Connector_Replaced
1-10635032564,null,Customer,Slow Browsing,Slow Browsing,null,Other_Fault,null,Advise Customer
1-10635089916,null,TM_CPE,Line Disconnect,Line Disconnect,null,TM_CPE_PG_Power adaptor prob,null,Power Adaptor Replaced
1-10635277912,null,TM_CPE,Line Disconnect,Line Disconnect,null,TM_CPE_PG Faulty,null,PG_Replaced
1-10635363353,null,TM_CPE,Line Disconnect,Line Disconnect,null,TM_CPE_PG Hang,null,PG_Reset
1-10635412553,null,Customer,Line Disconnect,Line Disconnect,null,Clear While Localising,null,Advise Customer
1-10635442486,null,Customer,Slow throughput (local),Slow throughput (local),null,Customer_Tie\Riser Low Quality,null,Advise Customer
1-10635470484,null,BTU,Slow Browsing,Slow Browsing,null,ONU_Faulty,null,ONU_Replaced
1-10635479052,null,LocalAccess,Line Disconnect,Line Disconnect,null,Drop Fiber Damage,null,D/S Pair Restored
1-10635482931,null,Customer,Cannot browse all website,Cannot browse all website,null,Customer_Cancel TT,null,Advise Customer
1-10635489943,null,Customer,Line down,Line down,null,Customer_Internal Wiring,null,Advise Customer
1-10635549634,null,TM_CPE,No Dial Tone,No Dial Tone,null,TM_CPE_DectPhone Faulty,null,Dect Phone Replaced
1-10635624121,null,LocalAccess,Line Disconnect,Line Disconnect,null,FDP_Patching,null,Patching_Fiber Normalised
1-10635647314,null,TM_CPE,Line Disconnect,Line Disconnect,null,CCS CPE Configured,null,TM_CPE_PG Config Problem
1-10635658414,null,BTU,No Dial Tone,No Dial Tone,null,ONU_Faulty,null,ONU_Replaced
1-10635668447,null,TM_CPE,Line Disconnect,Line Disconnect,null,TM_CPE_PG Hang,null,PG_Config_Changed
1-10635720551,null,LocalAccess,Line Disconnect,Line Disconnect,null,FDP_Low Signal,null,FDP_Repaired
1-10635732453,null,Customer,Line Disconnect,Line Disconnect,null,PG_Faulty,null,Advise Customer
1-10635748865,null,Customer,Line Disconnect,Line Disconnect,null,Customer_Behaviour,null,Advise Customer
1-10635753518,null,Customer,Intermittent,Intermittent,null,Cust_PC Issue/Faulty,null,Advise Customer
1-10635753751,null,BTU,Line Disconnect,Line Disconnect,null,VDSL_Modem Missing Config,null,VDSL_Config_Changed
1-10635796831,null,Customer,Blank Screen_All Channel,Blank Screen_All Channel,null,HomePlug_Faulty,null,Advise Customer
1-10635799734,null,BTU,Line Disconnect,Line Disconnect,null,VDSL_Modem Power Adaptor,null,Power Adaptor Replaced
1-10635814205,null,CLEAR WHILE LOCALISING,Frequent disconnection,Frequent disconnection,null,CWL USING END-END TESTING,null,CWL CANNOT GET CUSTOMER
1-10635822655,null,BTU,Line Disconnect,Line Disconnect,null,ONU_Power Adaptor,null,Power Adaptor Replaced
1-10635827603,null,Major Outage,Line Disconnect,Line Disconnect,null,Other_Fault,null,Problem_Restored
1-10635842434,null,Customer,Line Disconnect,Line Disconnect,null,Customer_Internal Wiring,null,Advise Customer
1-10635862534,null,Customer,Frequent disconnection,Frequent disconnection,null,No Wireless Coverage,null,Advise Customer
1-10635868573,null,TM_CPE,Line Disconnect,Line Disconnect,null,TM_CPE_PG Hang,null,PG_Reset
1-10635882084,null,BTU,Frequent disconnection,Frequent disconnection,null,VDSL_Modem_Hang,null,VDSL_Reset
1-10635886473,null,TM_CPE,Line Disconnect,Line Disconnect,null,TM_CPE_DectPhone Faulty,null,Dect Phone Replaced
1-10635946447,null,BTU,Line Disconnect,Line Disconnect,null,ONU_Faulty,null,ONU_Replaced
1-10635951125,null,Customer,Line Disconnect,Line Disconnect,null,Other_Fault,null,Advise Customer
1-10635956962,null,LocalAccess,Line Disconnect,Line Disconnect,null,Drop Fiber Damage,null,D/S Fiber cable replaced
1-10635957304,null,Customer,Line Disconnect,Line Disconnect,null,Other_Fault,null,Normalise_CPE Connection
1-10635957693,null,Customer,No Dial Tone,No Dial Tone,null,Customer_Behaviour,null,Normalise_CPE Connection
1-10635968755,null,Customer,Line Disconnect,Line Disconnect,null,Customer premise inaccessible,null,Advise Customer
1-10636024657,null,Customer,Intermittent,Intermittent,null,No Wireless Coverage,null,Advise Customer
1-10636044928,null,BTU,Line Disconnect,Line Disconnect,null,VDSL Modem Faulty,null,VDSL_Replaced
1-10636052137,null,BTU,Line Disconnect,Line Disconnect,null,ONU_Authentication Error,null,Customer_ResetModem
1-10636052577,null,TM_CPE,Line Disconnect,Line Disconnect,null,TM_CPE_PG_Wireless Coverage,null,PG_Reset
1-10636054630,null,LocalAccess,Line Disconnect,Line Disconnect,null,Drop Fiber Damage,null,D/S Cable Restored
1-10636064175,null,Access Network,Slow browsing all webs,Slow browsing all webs,null,EQMT_VLAN problem,null,VLAN changed
1-10636078622,null,BTU,Slow Browsing,Slow Browsing,null,ONU_Power Adaptor,null,Power Adaptor Replaced
1-10636094485,null,BTU,Line Disconnect,Line Disconnect,null,VDSL_Modem Power Adaptor,null,Power Adaptor Replaced
1-10636107845,null,Customer,Line Disconnect,Line Disconnect,null,Customer_Behaviour,null,Advise TMUC
1-10636127689,null,TM_CPE,Wireless not detected,Wireless not detected,null,TM_CPE_PG_Wireless Coverage,null,Change Wireless Channel Mode
1-10636129725,null,Customer,Line Disconnect,Line Disconnect,null,Customer_Not Reachable,null,Advise Customer
1-10636150829,null,Customer,Frequent disconnection,Frequent disconnection,null,STB_Faulty,null,Advise Customer
1-10636173130,null,BTU,Line Disconnect,Line Disconnect,null,ONU_Faulty,null,ONU_Replaced
1-10636177479,null,Customer,Frequent disconnection,Frequent disconnection,null,Customer_Cancel TT,null,Advise TMUC
1-10636212467,null,Customer,Blank Screen_All Channel,Blank Screen_All Channel,null,Clear While Localising,null,Advise Customer
1-10636212846,null,Major Outage,Line Disconnect,Line Disconnect,null,Known_NTT Fault,null,NTT_Resolved
1-10636242773,null,TM_CPE,Frequent disconnection,Frequent disconnection,null,TM_CPE_PG_Wireless Faulty,null,PG_Replaced
1-10636246570,null,BTU,Cannot browse all website,Cannot browse all website,null,ONU_Faulty,null,ONU_Replaced
1-10636257082,null,Major Outage,Line Disconnect,Line Disconnect,null,Known_NTT Fault,null,NTT_Resolved
1-10636257330,null,TM_CPE,Line Disconnect,Line Disconnect,null,TM_CPE_Cable RJ45 Faulty,null,Cable_Reconnected
1-10636257555,null,Customer,Router down,Router down,null,PG_Faulty,null,PG_Replaced
1-10636259048,null,LocalAccess,Line Disconnect,Line Disconnect,null,DP Jumper Faulty,null,Jumper Changed
1-10636260392,null,TM_CPE,Line Disconnect,Line Disconnect,null,TM_IW FWS,null,Connector_Replaced
1-10636334776,null,Access Network,Line Disconnect,Line Disconnect,null,EQMT_GE port faulty,null,Port Reset
1-10636340855,null,Customer,Line Disconnect,Line Disconnect,null,Other_Fault,null,Others
1-10636362912,null,Customer,Slow,Slow,null,PG_Faulty,null,Advise Customer
1-10636364144,null,BTU,Slow downloading rate,Slow downloading rate,null,ONU_Hang,null,ONU_Reset
1-10636368951,null,TM_CPE,Line Disconnect,Line Disconnect,null,TM_FTB Low Signal,null,Cable_Reconnected
1-10636394238,null,Major Outage,Line down,Line down,null,Known_NTT Fault,null,NTT_Resolved
1-10636397790,null,TM_CPE,Line Disconnect,Line Disconnect,null,TM_CPE_STB Faulty,null,STB_Replaced
1-10636401121,null,TM_CPE,Line Disconnect,Line Disconnect,null,TM_FTB FASC Connector Faulty,null,Connector_Replaced
1-10636401380,null,TM_CPE,Line Disconnect,Line Disconnect,null,TM_CPE_PG Faulty,null,PG_Replaced
1-10636420733,null,Customer,Line Disconnect,Line Disconnect,null,Clear While Localising,null,Advise Customer
1-10636432630,null,Customer,Line Disconnect,Line Disconnect,null,Clear While Localising,null,Others
1-10636437810,null,BTU,Line Disconnect,Line Disconnect,null,ONU_Power Adaptor,null,Power Adaptor Replaced
1-10636444538,null,Access Network,Line Disconnect,Line Disconnect,null,EQMT_GE port faulty,null,VLAN changed
1-10636451572,null,TM_CPE,Line Disconnect,Line Disconnect,null,TM_CPE_Cable RJ45 Faulty,null,PG_Config_Changed
1-10636451727,null,LocalAccess,Line Disconnect,Line Disconnect,null,Drop Fiber Damage,null,D/S Fiber cable restored
1-10636463437,null,BTU,Intermittent,Intermittent,null,VDSL_Modem Power Adaptor,null,Power Adaptor Replaced
1-10636467627,null,TM_CPE,Error_102004,Error_102004,null,TM_CPE_PG Faulty,null,PG_Replaced
1-10636472332,null,Network Trouble Ticket,Line Disconnect,Line Disconnect,null,Caused By NTT,null,Resolved By NTT
1-10636472871,null,BTU,Line Disconnect,Line Disconnect,null,VDSL Modem Config Problem,null,VDSL_Config_Changed
1-10636473005,null,LocalAccess,Line Disconnect,Line Disconnect,null,Jumper Faulty,null,Jumper Changed
1-10636491354,null,Customer,Line Disconnect,Line Disconnect,null,Customer_Behaviour,null,Advise Customer
1-10636491545,null,Customer,Cannot browse all website,Cannot browse all website,null,Cust_PC Issue/Faulty,null,Advise Customer
1-10636493845,null,Customer,Frequent disconnection,Frequent disconnection,null,PG_Faulty,null,Advise Customer
1-10636511725,null,LocalAccess,Line Disconnect,Line Disconnect,null,FDP_FASC Connector Faulty,null,Patching_Fiber Normalised
1-10636518951,null,Access Network,Line Disconnect,Line Disconnect,null,MSAN_VDSL_Port_Inactive,null,Re-activate
1-10636519267,null,BTU,Line Disconnect,Line Disconnect,null,ONU_Power Adaptor,null,Power Adaptor Replaced
1-10636519461,null,LocalAccess,Line Disconnect,Line Disconnect,null,Cabinet/SDF Jumper Wrong Pair,null,DP_Re-jumper
1-10636521835,null,RIGHT WHEN TESTED,Line Disconnect,Line Disconnect,null,RWT END-END,null,RWT CUSTOMER SATISFIED
1-10636533985,null,Customer,Line Disconnect,Line Disconnect,null,Cust_PhoneWallSocketFaulty,null,Advise Customer
1-10636541325,null,LocalAccess,Line Disconnect,Line Disconnect,null,Drop Fiber Damage by pest,null,D/S Fiber cable restored
1-10636541935,null,BTU,Line Disconnect,Line Disconnect,null,ONU_Power Adaptor,null,Power Adaptor Replaced
1-10636543362,null,LocalAccess,Line Disconnect,Line Disconnect,null,FDP_FASC Connector Faulty,null,FDP_FASC_Connector_Replaced
1-10636570205,null,RIGHT WHEN TESTED,Line Disconnect,Line Disconnect,null,RWT END-END,null,RWT CUSTOMER SATISFIED
1-10636574872,null,Customer,Cannot browse all website,Cannot browse all website,null,PG_Faulty,null,Advise Customer
1-10636574916,null,LocalAccess,Line Disconnect,Line Disconnect,null,D/S Pair Faulty,null,D/S Pair Changed
1-10636588035,null,RWT,Line Disconnect,Line Disconnect,null,CWL,null,Tested Normal
1-10636588435,null,BTU,Line Disconnect,Line Disconnect,null,ONU_Power Adaptor,null,Power Adaptor Replaced
1-10636588925,null,Customer,Line Disconnect,Line Disconnect,null,Customer_Not Reachable,null,Advise Customer
1-10636707485,null,BTU,Line Disconnect,Line Disconnect,null,ONU_Power Adaptor,null,Power Adaptor Replaced
1-10636722865,null,Customer,Line Disconnect,Line Disconnect,null,Customer_Not Reachable,null,Advise Customer
1-10636779465,null,Customer,Line Disconnect,Line Disconnect,null,Customer_Not Reachable,null,Advise Customer
1-10636804125,null,LocalAccess,Line Disconnect,Line Disconnect,null,Drop Fiber Damage,null,D/S Fiber cable restored
1-10636816456,null,Customer,Wireless signal low,Wireless signal low,null,No Wireless Coverage,null,Advise Customer
1-10636816919,null,LocalAccess,Line Disconnect,Line Disconnect,null,FDP_Low Signal,null,FDP_Repaired
1-10636855675,null,Customer,Line Disconnect,Line Disconnect,null,Customer_Not Reachable,null,Advise Customer
1-10636856581,null,LocalAccess,Line Disconnect,Line Disconnect,null,FDP_Low Signal,null,FDP_Repaired
1-10636871495,null,TM_CPE,Line Disconnect,Line Disconnect,null,TM_IW Fiber Patch Cord,null,Patching_Opt Connct Replaced
1-10636875171,null,Customer,Line Disconnect,Line Disconnect,null,Customer Defer Appointment,null,Advise Customer
1-10636897995,null,Customer,Line Disconnect,Line Disconnect,null,Customer_Not Reachable,null,Advise Customer
1-10636910108,null,TM_CPE,Line Disconnect,Line Disconnect,null,TM_CPE_PG Faulty,null,PG_Replaced
1-10636910437,null,Customer,Line Disconnect,Line Disconnect,null,Clear While Localising,null,Others
1-10636920347,null,TM_CPE,Line Disconnect,Line Disconnect,null,TM_CPE_STB_Power adaptor prob,null,Power Adaptor Replaced
1-10636924575,null,BTU,Line Disconnect,Line Disconnect,null,VDSL Modem Faulty,null,VDSL_Replaced
1-10636935815,null,RIGHT WHEN TESTED,Line Disconnect,Line Disconnect,null,RWT END-END,null,RWT CUSTOMER SATISFIED
1-10636939712,null,TM_CPE,Frequent disconnection,Frequent disconnection,null,TM_CPE_PG Hang,null,PG_Config_Changed
1-10636945909,null,Customer,HyppTV Hospitality,HyppTV Hospitality,null,HomePlug_Faulty,null,Advise Customer
1-10636955415,null,Customer,Frequent disconnection,Frequent disconnection,null,Customer_Not Reachable,null,Advise Customer
1-10636971515,null,Customer,Line Disconnect,Line Disconnect,null,Customer_Not Reachable,null,Advise Customer
1-10636985255,null,Customer,Line Disconnect,Line Disconnect,null,Customer_Not Reachable,null,Advise Customer
1-10636998535,null,Customer,Line Disconnect,Line Disconnect,null,Customer_Not Reachable,null,Advise Customer
1-10637000128,null,Customer,Line Disconnect,Line Disconnect,null,Clear While Localising,null,Advise Customer
1-10637034105,null,Access Network,Line Disconnect,Line Disconnect,null,EQMT_MSAN POTS card faulty,null,MSAN PON card replaced
1-10637042031,null,Access Network,Line Disconnect,Line Disconnect,null,EQMT_VLAN problem,null,VLAN changed
1-10637056309,null,Customer,Cannot browse all website,Cannot browse all website,null,PG_Faulty,null,Advise Customer
1-10637067098,null,Customer,Line Disconnect,Line Disconnect,null,Other_Fault,null,Normalise_CPE Connection
1-10637080930,null,TM_CPE,Line Disconnect,Line Disconnect,null,TM_CPE_PG Faulty,null,PG_Replaced
1-10637085429,null,Customer,Line Disconnect,Line Disconnect,null,Clear While Localising,null,Advise Customer
1-10637169105,null,RIGHT WHEN TESTED,Line Disconnect,Line Disconnect,null,RWT END-END,null,RWT CUSTOMER SATISFIED
1-10637173220,null,TM_CPE,Line Disconnect,Line Disconnect,null,TM_CPE_PG Hang,null,PG_Replaced
1-10637175240,null,TM_CPE,Cannot browse all website,Cannot browse all website,null,TM_CPE_PG Hang,null,PG_Config_Changed
1-10637175638,null,LocalAccess,Line Disconnect,Line Disconnect,null,D/S Pair Faulty,null,D/S Pair Changed
1-10637208222,null,BTU,Frequent disconnection,Frequent disconnection,null,ONU_Hang,null,ONU_Replaced
1-10637215186,null,LocalAccess,Line Disconnect,Line Disconnect,null,Drop Fiber Damage,null,D/S Fiber cable restored
